"","sub_id","BFI_target_group","group_cond","opin_pol_combined","identification","self","Targ","stereo","EDBFI_number","self_c","stereo_c","identification_c"
"2880",66,"Trump","Out-group","2",3,4,5,3,23,0.626708158571235,-0.0738936256597644,-0.391392748220942
"2881",66,"Trump","Out-group","2",3,3,5,3,24,-0.373291841428765,-0.0738936256597644,-0.391392748220942
"2882",66,"Trump","Out-group","2",3,3,5,3,24,-0.373291841428765,-0.0738936256597644,-0.391392748220942
"2883",66,"Trump","Out-group","2",3,4,2,1,2,0.626708158571235,-2.07389362565976,-0.391392748220942
"2884",66,"Trump","Out-group","2",3,4,2,1,2,0.626708158571235,-2.07389362565976,-0.391392748220942
"2885",66,"Trump","Out-group","2",3,4,4,4,3,0.626708158571235,0.926106374340236,-0.391392748220942
"2886",66,"Trump","Out-group","2",3,4,4,4,3,0.626708158571235,0.926106374340236,-0.391392748220942
"2887",66,"Trump","Out-group","2",3,5,5,1,4,1.62670815857124,-2.07389362565976,-0.391392748220942
"2888",66,"Trump","Out-group","2",3,5,5,1,4,1.62670815857124,-2.07389362565976,-0.391392748220942
"2889",66,"Trump","Out-group","2",3,5,2,2,5,1.62670815857124,-1.07389362565976,-0.391392748220942
"2890",66,"Trump","Out-group","2",3,5,2,2,5,1.62670815857124,-1.07389362565976,-0.391392748220942
"2891",66,"Trump","Out-group","2",3,3,2,4,6,-0.373291841428765,0.926106374340236,-0.391392748220942
"2892",66,"Trump","Out-group","2",3,3,2,4,6,-0.373291841428765,0.926106374340236,-0.391392748220942
"2893",66,"Trump","Out-group","2",3,4,2,1,7,0.626708158571235,-2.07389362565976,-0.391392748220942
"2894",66,"Trump","Out-group","2",3,4,2,1,7,0.626708158571235,-2.07389362565976,-0.391392748220942
"2895",66,"Trump","Out-group","2",3,5,4,2,8,1.62670815857124,-1.07389362565976,-0.391392748220942
"2896",66,"Trump","Out-group","2",3,5,4,2,8,1.62670815857124,-1.07389362565976,-0.391392748220942
"2897",66,"Trump","Out-group","2",3,4,5,5,9,0.626708158571235,1.92610637434024,-0.391392748220942
"2898",66,"Trump","Out-group","2",3,4,5,5,9,0.626708158571235,1.92610637434024,-0.391392748220942
"2899",66,"Trump","Out-group","2",3,4,2,2,10,0.626708158571235,-1.07389362565976,-0.391392748220942
"2900",66,"Trump","Out-group","2",3,4,2,2,10,0.626708158571235,-1.07389362565976,-0.391392748220942
"2901",66,"Trump","Out-group","2",3,3,2,3,11,-0.373291841428765,-0.0738936256597644,-0.391392748220942
"2902",66,"Trump","Out-group","2",3,3,2,3,11,-0.373291841428765,-0.0738936256597644,-0.391392748220942
"2903",66,"Trump","Out-group","2",3,2,1,1,12,-1.37329184142876,-2.07389362565976,-0.391392748220942
"2904",66,"Trump","Out-group","2",3,2,1,1,12,-1.37329184142876,-2.07389362565976,-0.391392748220942
"2905",66,"Trump","Out-group","2",3,5,4,2,13,1.62670815857124,-1.07389362565976,-0.391392748220942
"2906",66,"Trump","Out-group","2",3,5,4,2,13,1.62670815857124,-1.07389362565976,-0.391392748220942
"2907",66,"Trump","Out-group","2",3,4,4,5,14,0.626708158571235,1.92610637434024,-0.391392748220942
"2908",66,"Trump","Out-group","2",3,4,4,5,14,0.626708158571235,1.92610637434024,-0.391392748220942
